default_flag,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_msinie,pl_orbeccen,st_teff,st_rad,st_mass,st_logg,sy_dist
0,2,5,8,43.93,0.24,68.96911,0.44,5250.0,0.96,0.95,4.42,12.5855
0,2,5,8,44.3787,0.23800000000000002,52.44,0.053,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,44.3446,0.24,53.711000000000006,0.086,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,5370.0,5.84,1220.42,0.063,5250.0,0.96,0.9,4.42,12.5855
1,2,5,8,4825.0,5.502999999999999,1253.81575,0.019,5250.0,0.96,0.95,4.42,12.5855
0,2,5,8,5360.0,5.9,1287.2115,0.16,5250.0,0.96,0.95,4.42,12.5855
0,2,5,8,4517.4,5.257000000000001,1243.35096,0.327,5250.0,0.96,0.95,4.42,12.5855
0,2,5,8,4545.0,5.28,918.49,0.24,5250.0,0.96,0.925,4.42,12.5855
0,2,5,8,5218.0,5.77,1218.827,0.025,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,4909.0,5.47,1121.89,0.02,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,4867.0,5.446000000000001,963.6631928571429,0.0269,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,0.7365417,2.7307200000000003,805.4363857142857,0.017933333333333336,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,0.73654385,0.01544,647.2095785714287,0.008966666666666668,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,0.736546,0.01583,488.9827714285715,0.0,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,0.7365478,0.015438999999999998,330.7559642857143,0.027999999999999997,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,0.736545,0.0267195,172.52915714285723,0.0,5250.0,0.96,0.9,4.42,12.5855
0,2,5,8,2.8080000000000003,0.038,14.30235,0.174,5211.0,0.955,0.95,4.425,12.5855
0,2,5,8,0.737,0.0268455,12.6767625,0.107,5172.0,0.95,0.87,4.43,12.5855
